Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
seasonal_weekly,2039,432.0,14141.0,13604.0,33.270833333333336,67.2314100699963,1.0164061947528464,-1.2430555555555556
direct_mean,2063,432.0,14542.0,14706.127906976744,24.980303886735577,48.88021304395387,0.7420912721131735,0.3799257105943148
rolling_24,2063,432.0,14542.0,14141.0,25.36728395061729,50.36180535925226,0.7535873103195343,-0.9282407407407396
rolling_168,2063,432.0,14542.0,15013.285714285714,25.340828924162256,49.06569139986322,0.7528014093823474,1.0909391534391533
rolling_336,2063,432.0,14542.0,14890.5,25.050498787477956,48.85488898206045,0.7441765559201263,0.8067129629629629
seasonal_daily,2063,432.0,14542.0,14141.0,35.74768518518518,71.84820353948909,1.0619584651354697,-0.9282407407407407
seasonal_weekly,2063,432.0,14542.0,13177.0,34.49305555555556,70.90269479807964,1.0246871131893824,-3.1597222222222223
direct_mean,2087,432.0,14850.0,14704.241379310344,26.607049098907336,51.24241472976051,0.7740232465136679,-0.3374042145593863
rolling_24,2087,432.0,14850.0,14542.0,27.02199074074074,52.50131354911719,0.7860942760942761,-0.7129629629629629
rolling_168,2087,432.0,14850.0,15208.285714285714,26.432815255731924,50.152599593014756,0.7689546256212924,0.8293650793650803
rolling_336,2087,432.0,14850.0,14876.5,26.5715801366843,50.84708484890248,0.7729914221580888,0.061342592592592594
seasonal_daily,2087,432.0,14850.0,14542.0,33.89351851851852,72.91826982364621,0.985993265993266,-0.7129629629629629
seasonal_weekly,2087,432.0,14850.0,15574.0,36.375,73.97672306581008,1.0581818181818181,1.6759259259259258
direct_mean,2111,432.0,14060.0,14705.897727272726,24.992262030022445,48.808799054355546,0.7678988049053838,1.495133627946129
rolling_24,2111,432.0,14060.0,14850.0,25.13618827160494,50.25724718945247,0.7723210052157421,1.8287037037037033
rolling_168,2111,432.0,14060.0,15104.857142857141,24.980048500881836,49.08996496893533,0.7675235385761702,2.4186507936507944
